"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BatteryHolder_MPD_BK-18650-PC2";1;"Battery_Cell";;;
2;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"C";;;
3;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"C";;;
4;"C3";"CP_Radial_D8.0mm_P3.50mm";1;"C_US";;;
5;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
6;"D2, D3";"LED_D5.0mm";2;"LED";;;
7;"J1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"Screw_Terminal_01x02";;;
8;"J2, J3, J5, J6, J7, J9, J10";"PinHeader_1x02_P2.54mm_Vertical";7;"Conn_02x01";;;
9;"J4, J8";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Top_Bottom";;;
10;"J11, J12";"PinHeader_2x22_P2.54mm_Vertical_double";2;"Conn_02x22_Top_Bottom";;;
11;"LS1";"speaker_2.5x3.5cm";1;"Speaker";;;
12;"M1";"MODULE_MICRO_INMP441";1;"module_micro_inmp441";;;
13;"M2";"Module_MAX98357A";1;"Module_MAX98357A";;;
14;"R1, R3, R6, R7, R8, R9, R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"R_US";;;
15;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"R_Photo";;;
16;"R4, R5";"CFR25S";2;"R_US";;;
17;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"R_Potentiometer";;;
18;"SW1";"SW_ss12d10";1;"SW_Wuerth_450301014042";;;
19;"SW2";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";1;"SW_DIP_x03";;;
20;"SW5, SW8, SW9";"SW_PUSH_6mm_H7.3mm";3;"SW_Push";;;
21;"SW6";"SW_DIP_SPSTx06_Slide_9.78x17.42mm_W7.62mm_P2.54mm";1;"SW_DIP_x06";;;
22;"SW7";"SW_DIP_SPSTx07_Slide_9.78x19.96mm_W7.62mm_P2.54mm";1;"SW_DIP_x07";;;
23;"TP1, TP2";"PinHeader_1x01_P2.54mm_Vertical";2;"TestPoint";;;
24;"U1";"TP4056-Module";1;"Module_TP4056";;;
25;"U2";"OLED_SSD1306_I2C_0.96";1;"Module_OLED_0.96";;;
26;"U3";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
27;"U4";"2SC1815_TO_92";1;"MCP1700x-330xxTO";;;
28;"U5";"ESP32-S3-DevKitC";1;"ESP32-S3-DevKitC";;;
